Start,End,Sleep quality,Time in bed,Wake up,Sleep Notes,Heart rate,Activity (steps)
2015-09-13 22:41:23,2015-09-14 06:29:50,85%,7:48,,,,954
2015-09-14 23:51:23,2015-09-15 06:29:58,74%,6:38,,,,10320
2015-09-15 22:55:37,2015-09-16 05:45:38,71%,6:50,,,,6256
2015-09-16 22:34:24,2015-09-17 06:45:28,87%,8:11,,,,10055
2015-09-17 23:09:31,2015-09-18 06:45:34,81%,7:36,,,,5940
2015-09-18 21:16:39,2015-09-19 06:59:11,94%,9:42,,,,1078
2015-09-19 22:44:12,2015-09-20 06:45:35,87%,8:01,,,,6465
2015-09-20 21:57:31,2015-09-21 06:35:08,87%,8:37,,,,14593
2015-09-21 22:30:53,2015-09-22 06:45:09,92%,8:14,,,,9680
2015-09-22 23:08:19,2015-09-23 06:27:09,80%,7:18,,,,1699
2015-09-23 23:43:11,2015-09-24 06:30:29,77%,6:47,,,,8340
2015-09-25 00:15:42,2015-09-25 06:30:26,72%,6:14,,,,6066
2015-09-26 01:34:30,2015-09-26 07:29:19,63%,5:54,,,,4192
2015-09-29 19:17:05,2015-09-30 00:59:26,65%,5:42,,,,10775
2015-09-30 19:24:56,2015-10-01 02:13:20,74%,6:48,,,,17418
2015-10-01 19:04:30,2015-10-02 01:30:32,76%,6:26,,,,10099
2015-10-02 17:56:05,2015-10-02 23:30:32,65%,5:34,,,,10322
2015-10-03 19:24:56,2015-10-04 01:30:47,67%,6:05,,,,7766
2015-10-04 18:45:07,2015-10-04 23:59:34,53%,5:14,,,,11878
2015-10-05 18:53:21,2015-10-06 02:00:24,80%,7:07,,,,12417
2015-10-06 19:28:48,2015-10-07 00:35:36,55%,5:06,,,,13074
2015-10-07 19:08:30,2015-10-08 02:09:50,87%,7:01,,,,16384
2015-10-08 18:23:53,2015-10-09 01:47:53,89%,7:23,,,,19241
2015-10-09 20:06:31,2015-10-10 01:00:15,58%,4:53,,,,12687
2015-10-11 20:43:59,2015-10-12 06:30:24,87%,9:46,,,,1418
2015-10-12 21:07:54,2015-10-13 06:33:56,85%,9:26,,,,2781
2015-10-13 20:09:18,2015-10-14 06:34:59,100%,10:25,,,,1220
2015-10-14 21:13:47,2015-10-15 06:33:30,98%,9:19,,,,372
2015-10-15 20:06:08,2015-10-16 06:34:26,100%,10:28,,,,553
2015-10-16 23:57:05,2015-10-17 07:57:44,93%,8:00,,,,4446
2015-10-17 23:27:44,2015-10-18 07:34:27,90%,8:06,,,,11695
2015-10-18 20:41:57,2015-10-19 06:35:27,97%,9:53,,,,564
2015-10-19 23:07:56,2015-10-20 00:21:55,0%,0:00,,,,3106
2015-10-20 01:04:54,2015-10-20 06:34:30,63%,5:29,,,,3106
2015-10-20 23:14:45,2015-10-21 06:35:07,88%,7:20,,,,8869
2015-10-21 20:21:54,2015-10-22 06:33:21,39%,10:11,,,,7330
2015-10-22 21:52:00,2015-10-23 06:32:43,100%,8:40,,,,3112
2015-10-24 02:00:27,2015-10-24 08:35:30,76%,6:35,,,,3392
2015-10-25 00:07:10,2015-10-25 09:10:18,92%,9:03,,,,16236
2015-10-25 23:00:05,2015-10-26 06:32:07,87%,7:32,,,,726
2015-10-26 22:27:41,2015-10-27 06:35:38,91%,8:07,,,,1366
2015-10-27 22:35:24,2015-10-28 06:35:32,52%,8:00,,,,862
2015-10-28 22:07:32,2015-10-29 06:35:10,95%,8:27,,,,1379
2015-10-29 22:21:17,2015-10-30 06:34:38,45%,8:13,,,,1517
2015-10-30 23:18:13,2015-10-31 07:33:45,93%,8:15,,,,2220
2015-10-31 22:52:05,2015-11-01 07:19:41,100%,9:27,,,,18279
2015-11-01 23:06:11,2015-11-02 06:34:19,73%,7:28,,,,9233
2015-11-02 22:57:16,2015-11-03 06:33:28,85%,7:36,,,,710
2015-11-04 03:03:37,2015-11-04 06:35:03,36%,3:31,,,,1647
2015-11-04 21:28:27,2015-11-05 06:35:25,97%,9:06,,,,15421
2015-11-05 23:03:18,2015-11-06 06:32:12,82%,7:28,,,,835
2015-11-06 23:16:58,2015-11-07 07:35:30,90%,8:18,,,,671
2015-11-08 03:50:33,2015-11-08 07:31:33,44%,3:41,,,,18326
2015-11-08 21:36:46,2015-11-09 06:34:19,100%,8:57,,,,16702
2015-11-09 22:58:19,2015-11-10 06:35:33,84%,7:37,,,,833
2015-11-10 22:47:37,2015-11-11 06:35:12,88%,7:47,,,,1168
2015-11-11 22:34:26,2015-11-12 06:35:35,34%,8:01,,,,4021
2015-11-13 00:19:22,2015-11-13 06:35:39,70%,6:16,,,,1519
2015-11-15 03:34:33,2015-11-15 07:31:19,45%,3:56,,,,5955
2015-11-15 23:06:46,2015-11-16 06:35:29,85%,7:28,,,,14853
2015-11-16 22:02:39,2015-11-17 03:04:18,59%,5:01,,,,2562
2015-11-18 00:48:13,2015-11-18 08:25:53,79%,7:37,,,,7279
2015-11-19 01:29:32,2015-11-19 08:26:44,71%,6:57,,,,4565
2015-11-20 04:59:34,2015-11-20 08:30:31,40%,3:30,,,,6067
2015-11-21 02:34:35,2015-11-21 08:30:28,66%,5:55,,,,8527
2015-11-22 00:58:00,2015-11-22 08:30:30,84%,7:32,,,,2658
2015-11-22 22:36:03,2015-11-23 06:30:25,83%,7:54,,,,190
2015-11-23 23:33:18,2015-11-24 06:30:31,80%,6:57,,,,1327
2015-11-25 00:12:52,2015-11-25 06:30:37,73%,6:17,,,,1425
2015-11-28 01:30:38,2015-11-28 07:26:05,66%,5:55,,,,3968
2015-11-29 00:11:53,2015-11-29 07:27:09,80%,7:15,,,,2450
2015-11-29 23:02:53,2015-11-30 06:30:38,82%,7:27,,,,17575
2015-11-30 23:13:11,2015-12-01 06:30:38,82%,7:17,,,,2883
2015-12-02 03:18:27,2015-12-02 06:45:30,41%,3:27,,,,2062
2015-12-02 22:28:04,2015-12-03 06:20:42,91%,7:52,,,,1969
2015-12-04 01:12:39,2015-12-04 06:45:13,64%,5:32,,,,1663
2015-12-04 23:49:17,2015-12-05 07:43:35,90%,7:54,,,,1187
2015-12-06 00:07:43,2015-12-06 07:45:25,86%,7:37,,,,13425
2015-12-06 22:46:43,2015-12-07 06:33:32,91%,7:46,,,,13324
2015-12-07 22:02:35,2015-12-08 06:35:07,93%,8:32,,,,1510
2015-12-08 21:04:15,2015-12-09 03:09:18,61%,6:05,,,,2278
2015-12-09 20:40:20,2015-12-10 06:15:32,100%,9:35,,,,4905
2015-12-10 22:58:20,2015-12-11 06:13:25,82%,7:15,,,,1084
2015-12-12 03:06:50,2015-12-12 07:57:35,49%,4:50,,,,1656
2015-12-12 23:06:58,2015-12-13 07:30:30,92%,8:23,,,,12979
2015-12-13 22:55:36,2015-12-14 06:30:31,83%,7:34,,,,7107
2015-12-14 23:02:30,2015-12-15 04:00:27,53%,4:57,,,,1871
2015-12-16 00:10:52,2015-12-16 08:58:15,98%,8:47,,,,5568
2015-12-16 23:38:59,2015-12-17 08:59:10,89%,9:20,,,,2751
2015-12-17 23:13:11,2015-12-18 06:57:12,70%,7:44,,,,1835
2015-12-18 23:29:53,2015-12-19 08:00:33,95%,8:30,,,,4943
2015-12-20 01:14:04,2015-12-20 08:00:32,74%,6:46,,,,3901
2015-12-20 23:01:01,2015-12-21 06:15:32,81%,7:14,,,,581
2015-12-22 00:31:50,2015-12-22 06:15:31,61%,5:43,,,,1209
2015-12-22 23:31:31,2015-12-23 06:15:33,74%,6:44,,,,1613
2015-12-23 23:12:26,2015-12-24 07:00:17,87%,7:47,,,,2189
2015-12-25 22:45:52,2015-12-26 06:58:58,96%,8:13,,,,1705
2015-12-27 23:46:05,2015-12-28 06:30:31,75%,6:44,,,,580
2015-12-28 22:54:35,2015-12-29 04:30:24,61%,5:35,,,,1366
2016-01-01 23:01:36,2016-01-02 05:56:37,78%,6:55,,,,7463
2016-01-02 23:32:12,2016-01-03 06:29:46,82%,6:57,,,,672
2016-01-03 23:04:19,2016-01-04 06:15:01,75%,7:10,,,,3172
2016-01-05 00:06:08,2016-01-05 06:13:32,71%,6:07,,,,2571
2016-01-06 00:06:00,2016-01-06 06:15:20,71%,6:09,,,,1759
2016-01-07 00:07:04,2016-01-07 06:14:44,70%,6:07,,,,1528
2016-01-07 21:19:23,2016-01-08 06:13:18,100%,8:53,,,,1682
2016-01-08 23:28:09,2016-01-09 07:14:42,88%,7:46,,,,2133
2016-01-10 00:02:40,2016-01-10 08:08:17,89%,8:05,,,,4194
2016-01-10 20:20:21,2016-01-11 06:14:56,97%,9:54,,,,972
2016-01-11 22:09:32,2016-01-12 06:13:30,91%,8:03,,,,994
2016-01-13 02:08:54,2016-01-13 06:15:28,49%,4:06,,,,2089
2016-01-13 23:01:41,2016-01-14 06:11:54,76%,7:10,:|,,,1494
2016-01-14 22:59:07,2016-01-15 06:15:20,74%,7:16,:),,,1509
2016-01-15 23:17:35,2016-01-16 07:03:39,81%,7:46,:),,,617
2016-01-16 23:57:38,2016-01-17 07:11:00,80%,7:13,:),,,7452
2016-01-18 00:19:44,2016-01-18 06:09:07,73%,5:49,:(,,,1877
2016-01-19 00:34:22,2016-01-19 06:15:21,63%,5:40,:),,,2636
2016-01-19 22:59:15,2016-01-20 06:14:41,80%,7:15,:|,,,1551
2016-01-20 23:23:29,2016-01-21 06:14:53,72%,6:51,:|,,,1742
2016-01-21 22:54:12,2016-01-22 06:11:51,59%,7:17,:(,,,2588
2016-01-22 22:59:43,2016-01-23 07:14:53,79%,8:15,:|,,,982
2016-01-24 01:18:54,2016-01-24 07:17:05,70%,5:58,:|,,,2966
2016-01-24 23:50:25,2016-01-25 06:15:20,71%,6:24,:|,,,2697
2016-01-25 23:29:38,2016-01-26 06:13:22,75%,6:43,:|,,,1408
2016-01-27 01:13:16,2016-01-27 06:15:46,59%,5:02,:|,,,2505
2016-01-28 00:33:54,2016-01-28 06:15:34,40%,5:41,:|,,,1449
2016-01-28 22:41:44,2016-01-29 06:15:27,75%,7:33,:),,,1077
2016-01-29 23:32:12,2016-01-30 06:10:12,66%,6:38,:),,,1529
2016-01-31 00:30:17,2016-01-31 07:11:19,54%,6:41,:|,,,3134
2016-01-31 22:54:53,2016-02-01 06:14:46,71%,7:19,:|,,,4564
2016-02-01 23:11:14,2016-02-02 06:14:42,76%,7:03,:|,,,1319
2016-02-03 00:33:36,2016-02-03 06:13:10,65%,5:39,:|,,,2734
2016-02-03 23:23:35,2016-02-04 06:15:21,63%,6:51,:|,,,1067
2016-02-04 23:44:53,2016-02-05 06:14:15,75%,6:29,:|,,,2337
2016-02-05 23:38:57,2016-02-06 07:14:10,77%,7:35,:|,,,895
2016-02-06 23:40:21,2016-02-07 07:13:25,77%,7:33,:),,,2887
2016-02-07 23:23:41,2016-02-08 06:13:37,67%,6:49,:(,,,1830
2016-02-09 00:05:40,2016-02-09 06:15:18,69%,6:09,:|,,,2088
2016-02-10 05:32:15,2016-02-10 06:14:41,9%,0:42,:(,,,2392
2016-02-10 22:37:04,2016-02-11 06:15:01,82%,7:37,:|,,,1447
2016-02-11 23:44:14,2016-02-12 06:09:28,73%,6:25,:),,,1085
2016-02-12 22:42:35,2016-02-13 08:04:13,76%,9:21,:),,,1851
2016-02-13 22:59:48,2016-02-14 08:02:19,88%,9:02,:),,,1168
2016-02-14 22:13:18,2016-02-15 06:14:16,94%,8:00,:),,,1656
2016-02-15 23:41:35,2016-02-16 06:13:28,80%,6:31,:|,,,905
